,xh,zu,af,ig,sn,ts,st,nso,tn,bm,am
Total Appropriate,1379.0,1355.0,1086.0,809.0,1548.0,1422.0,1461.0,1710.0,1433.0,1019.0,1370.0
GPT-4.0 App. Accuracy,65.5,69.1,81.7,60.7,71.7,63.5,68.2,64.8,64.8,51.4,60.0
GPT-4 App. Accuracy,61.4,65.3,80.0,60.7,67.4,58.7,65.2,58.9,60.1,52.2,51.7
GPT-3.5 App. Accuracy,51.6,49.7,56.7,51.9,51.1,50.4,49.9,50.8,50.7,49.6,50.4
Total Inappropriate,385.0,409.0,676.0,956.0,207.0,339.0,306.0,56.0,331.0,737.0,397.0
GPT-4.0 Inapp. Accuracy,65.7,64.1,75.2,61.7,55.4,60.6,64.5,56.0,62.8,49.4,58.0
GPT-4 Inapp. Accuracy,60.9,59.4,72.5,57.4,54.4,53.6,58.7,59.5,62.1,50.0,49.3
GPT-3.5 Inapp. Accuracy,53.9,50.7,52.0,50.0,53.9,51.0,52.7,56.5,53.7,51.5,51.4
Total Appropriate,1379.0,1355.0,1086.0,809.0,1548.0,1422.0,1461.0,1710.0,1433.0,1019.0,1370.0
GPT-4.0 En App. Accuracy,83.9,85.1,85.3,84.9,84.3,84.2,84.0,83.7,84.6,83.4,83.2
GPT-4 En App. Accuracy,83.1,83.1,84.8,83.0,83.3,83.8,83.5,83.0,83.2,82.1,82.5
GPT-3.5 En App. Accuracy,58.7,58.5,59.9,61.0,59.0,59.0,59.4,58.8,58.6,57.0,58.7
Total Inappropriate,385.0,409.0,676.0,956.0,207.0,339.0,306.0,56.0,331.0,737.0,397.0
GPT-4.0 En Inapp. Accuracy,84.1,79.9,81.8,83.2,81.2,82.5,83.9,94.0,81.2,84.5,86.6
GPT-4 En Inapp. Accuracy,83.0,82.7,80.0,83.1,81.6,79.7,80.7,86.3,82.3,84.3,85.1
GPT-3.5 En Inapp. Accuracy,59.2,59.7,57.1,56.9,57.3,57.7,55.9,59.5,59.4,61.0,59.2
GPT-4.0 Accuracy Diff,-0.2,4.9,6.5,-1.0,16.3,2.9,3.7,8.8,2.0,2.0,2.0
GPT-4 Accuracy Diff,0.6,5.9,7.6,3.3,12.9,5.2,6.5,-0.6,-2.1,2.2,2.4
GPT-3.5 Accuracy Diff,-2.2,-1.0,4.6,1.8,-2.8,-0.7,-2.8,-5.8,-3.0,-1.9,-1.0
GPT-4.0 En Accuracy Diff,-0.2,5.3,3.5,1.6,3.2,1.7,0.1,-10.4,3.4,-1.1,-3.5
GPT-4 En Accuracy Diff,0.0,0.4,4.8,-0.1,1.6,4.0,2.8,-3.3,0.9,-2.2,-2.6
GPT-3.5 En Accuracy Diff,-0.5,-1.2,2.7,4.1,1.7,1.3,3.5,-0.7,-0.8,-4.0,-0.5
GPT-4.0 Accuracy Diff - En,0.0,-0.3,3.0,-2.6,13.2,1.2,3.6,19.2,-1.4,3.1,5.4
GPT-4 Accuracy Diff - En,0.5,5.5,2.8,3.4,11.3,1.1,3.7,2.7,-3.0,4.4,5.0
GPT-3.5 Accuracy Diff - En,-1.7,0.2,1.9,-2.3,-4.5,-1.9,-6.3,-5.1,-2.1,2.0,-0.5
